dataset,training_scope,ratio,model,training_unit,source_session_count,model_instance_count,train_window_count_per_model,train_window_count_all_models,validation_window_count_per_model,validation_window_count_all_models,batch_size,drop_last,train_batches_per_epoch_per_model,train_batches_per_epoch_all_models,optimizer_steps_per_batch,optimizer_updates_per_epoch_per_model,optimizer_updates_per_epoch_all_models,validation_batches_per_model,validation_batches_all_models,max_epochs,maximum_optimizer_updates,early_stopping_rule,workload_status,actual_optimizer_updates_status,fit_validation_boundary_crossing_window_count,session_boundary_crossing_window_count,windows_excluded_to_preserve_session_boundaries
HAI,all_train_sessions,5,GDN,one_model_over_all_train_sessions,4,1,40318,40318,89620,89620,32,False,1260,1260,1,1260,1260,2801,2801,50,63000,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,10,GDN,one_model_over_all_train_sessions,4,1,80656,80656,89620,89620,32,False,2521,2521,1,2521,2521,2801,2801,50,126050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,20,GDN,one_model_over_all_train_sessions,4,1,161332,161332,89620,89620,32,False,5042,5042,1,5042,5042,2801,2801,50,252100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,40,GDN,one_model_over_all_train_sessions,4,1,322684,322684,89620,89620,32,False,10084,10084,1,10084,10084,2801,2801,50,504200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,60,GDN,one_model_over_all_train_sessions,4,1,484036,484036,89620,89620,32,False,15127,15127,1,15127,15127,2801,2801,50,756350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,80,GDN,one_model_over_all_train_sessions,4,1,645388,645388,89620,89620,32,False,20169,20169,1,20169,20169,2801,2801,50,1008450,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
HAI,all_train_sessions,100,GDN,one_model_over_all_train_sessions,4,1,806740,806740,89620,89620,32,False,25211,25211,1,25211,25211,2801,2801,50,1260550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,15
